date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:57	29874/29874	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/gmaps/gmaps.min.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/gmaps/gmaps.min.js	(from http://radixtouch.in/hospital/google_maps.html)
16:42:58	907/907	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/jqvmap/jqvmap.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jqvmap/jqvmap.css	(from http://radixtouch.in/hospital/vector_maps.html)
16:42:58	91477/91477	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/morris/raphael-min.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/morris/raphael-min.js	(from http://radixtouch.in/hospital/charts_morris.html)
16:42:59	27557/27557	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/jqvmap/jquery.vmap.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jqvmap/jquery.vmap.js	(from http://radixtouch.in/hospital/vector_maps.html)
16:43:03	67203/67203	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/jqvmap/maps/jquery.vmap.world.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jqvmap/maps/jquery.vmap.world.js	(from http://radixtouch.in/hospital/vector_maps.html)
16:43:06	97653/97653	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/jqvmap/maps/jquery.vmap.europe.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jqvmap/maps/jquery.vmap.europe.js	(from http://radixtouch.in/hospital/vector_maps.html)
16:43:06	157651/157651	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/jqvmap/maps/jquery.vmap.russia.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jqvmap/maps/jquery.vmap.russia.js	(from http://radixtouch.in/hospital/vector_maps.html)
16:43:06	55443/55443	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/jqvmap/maps/jquery.vmap.germany.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jqvmap/maps/jquery.vmap.germany.js	(from http://radixtouch.in/hospital/vector_maps.html)
16:43:07	3119/3119	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/js/jqvmap/data/jquery.vmap.sampledata.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jqvmap/data/jquery.vmap.sampledata.js	(from http://radixtouch.in/hospital/vector_maps.html)
16:43:07	1328/1328	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/js/jqvmap/vector-data.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jqvmap/vector-data.js	(from http://radixtouch.in/hospital/vector_maps.html)
16:43:09	50012/50012	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/jqvmap/maps/jquery.vmap.usa.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jqvmap/maps/jquery.vmap.usa.js	(from http://radixtouch.in/hospital/vector_maps.html)
16:43:09	587974/587974	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/echarts/echarts.js	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/echarts/echarts.js	(from http://radixtouch.in/hospital/charts_echarts.html)
16:43:11	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:05%20GMT	http://radixtouch.in/hospital/img/datatable-row-openclose.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/datatable-row-openclose.html	(from http://radixtouch.in/hospital/css/plugins.min.css)
16:43:11	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:06%20GMT	http://radixtouch.in/hospital/css/images/arrow-down.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/css/images/arrow-down.html	(from http://radixtouch.in/hospital/css/style.css)
16:43:12	3897/3897	---M--	200	added ('OK')	image/gif	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/jquery-file-upload/img/loading.gif	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-file-upload/img/loading.gif	(from http://radixtouch.in/hospital/js/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
16:43:13	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:07%20GMT	http://radixtouch.in/hospital/js/jquery-file-upload/img/error.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-file-upload/img/error.png	(from http://radixtouch.in/hospital/js/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
16:43:13	23424/23424	---M--	200	added ('OK')	application/font-woff	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.woff	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://radixtouch.in/hospital/js/bootstrap/css/bootstrap.min.css)
16:43:13	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:08%20GMT	http://radixtouch.in/hospital/js/jquery-file-upload/img/play-pause.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-file-upload/img/play-pause.png	(from http://radixtouch.in/hospital/js/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
16:43:14	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:08%20GMT	http://radixtouch.in/hospital/js/jquery-file-upload/img/error.svg	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-file-upload/img/error.svg	(from http://radixtouch.in/hospital/js/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
16:43:14	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:09%20GMT	http://radixtouch.in/hospital/js/jquery-file-upload/img/play-pause.svg	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-file-upload/img/play-pause.svg	(from http://radixtouch.in/hospital/js/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
16:43:14	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:09%20GMT	http://radixtouch.in/hospital/js/jquery-file-upload/img/video-play.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-file-upload/img/video-play.png	(from http://radixtouch.in/hospital/js/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
16:43:15	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:09%20GMT	http://radixtouch.in/hospital/js/jquery-file-upload/img/video-play.svg	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-file-upload/img/video-play.svg	(from http://radixtouch.in/hospital/js/jquery-file-upload/blueimp-gallery/blueimp-gallery.min.css)
16:43:15	3323/3323	---M--	200	added ('OK')	image/gif	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/jquery-file-upload/img/progressbar.gif	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/jquery-file-upload/img/progressbar.gif	(from http://radixtouch.in/hospital/js/jquery-file-upload/css/jquery.fileupload-ui.css)
16:43:15	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:10%20GMT	http://radixtouch.in/hospital/js/images/sort_both.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/images/sort_both.png	(from http://radixtouch.in/hospital/js/datatables/jquery.dataTables.min.css)
16:43:16	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:10%20GMT	http://radixtouch.in/hospital/js/images/sort_asc.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/images/sort_asc.png	(from http://radixtouch.in/hospital/js/datatables/jquery.dataTables.min.css)
16:43:16	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:13:11%20GMT	http://radixtouch.in/hospital/js/images/sort_desc.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/images/sort_desc.png	(from http://radixtouch.in/hospital/js/datatables/jquery.dataTables.min.css)
16:43:16	81332/81332	---M--	200	added ('OK')	application/font-woff	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/simple-line-icons/fonts/Simple-Line-Icons.woff?v=2.4.0	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/simple-line-icons/fonts/Simple-Line-Iconsb26c.woff	(from http://radixtouch.in/hospital/js/simple-line-icons/simple-line-icons.min.css)
